column,column_name
,"update_process_code,update_timestamp,update_user,vendor_guid"
 REG_KEY,leg_teradata_edw_registry_key
A1270N_PX21_01Y_BEGINNINGS,"A1270N_PX21_01Y_BEGINNINGS,A1270N_PX21_01Y_BEGINNINGS"
A1270N_PX21_02Y_TAKING_HOLD,"A1270N_PX21_02Y_TAKING_HOLD,A1270N_PX21_02Y_TAKING_HOLD"
A1270N_PX21_03X_TRANS_TIME,"A1270N_PX21_03X_TRANS_TIME,A1270N_PX21_03X_TRANS_TIME"
A1270N_PX21_04X_FLYNG_SOLO,"A1270N_PX21_04X_FLYNG_SOLO,A1270N_PX21_04X_FLYNG_SOLO"
A1270N_PX21_05X_FMLY_FOCUSD,"A1270N_PX21_05X_FMLY_FOCUSD,A1270N_PX21_05X_FMLY_FOCUSD"
A1270N_PX21_06X_MXD_SNGLS,"A1270N_PX21_06X_MXD_SNGLS,A1270N_PX21_06X_MXD_SNGLS"
A1270N_PX21_07X_CASH_CAREERS,"A1270N_PX21_07X_CASH_CAREERS,A1270N_PX21_07X_CASH_CAREERS"
A1270N_PX21_08X_JMBO_FMLYS,"A1270N_PX21_08X_JMBO_FMLYS,A1270N_PX21_08X_JMBO_FMLYS"
A1270N_PX21_09B_MDDLNG_SNGLS,"A1270N_PX21_09B_MDDLNG_SNGLS,A1270N_PX21_09B_MDDLNG_SNGLS"
A1270N_PX21_10B_MXD_MDDLRS,"A1270N_PX21_10B_MXD_MDDLRS,A1270N_PX21_10B_MXD_MDDLRS"
A1270N_PX21_11B_FRTUNS_FMLLYS,"A1270N_PX21_11B_FRTUNS_FMLLYS,A1270N_PX21_11B_FRTUNS_FMLLYS"
A1270N_PX21_12B_FLSH_FMLYS,"A1270N_PX21_12B_FLSH_FMLYS,A1270N_PX21_12B_FLSH_FMLYS"
A1270N_PX21_13B_TRUE_BLUES,"A1270N_PX21_13B_TRUE_BLUES,A1270N_PX21_13B_TRUE_BLUES"
A1270N_PX21_14B_OUR_TURN,"A1270N_PX21_14B_OUR_TURN,A1270N_PX21_14B_OUR_TURN"
A1270N_PX21_15M_MTRE_WLTH,"A1270N_PX21_15M_MTRE_WLTH,A1270N_PX21_15M_MTRE_WLTH"
A1270N_PX21_16M_AGNG_UPSCL,"A1270N_PX21_16M_AGNG_UPSCL,A1270N_PX21_16M_AGNG_UPSCL"
